id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies
UgxLjSkGIrn6N4UkJ7J4AaABAg,Simone Kaam,2 months ago,1523495017362,Voto impresso sou a favor nas eleições de 2018.,1,false,0
Ugxr3kuooEVwbZyG6bZ4AaABAg,robson medeiros,2 months ago,1523495017374,"Lixos! Cumpram a lei aprovada no Congresso. O Brasil, único país no mundo onde o judiciário não cumpre lei.",1,false,0
UgxiY2heq5Q4j_Mp1pt4AaABAg,Diego Gp,2 months ago,1523495017385,Voto impreso,3,false,0
Ugwn9dHtzNxWoa58Qlt4AaABAg,Dick Hamer,2 months ago,1523495017390,VOTO É NO PAPEL!,3,false,0
Ugy7_trTosSdrue-3k14AaABAg,Vânderson Vieira,2 months ago,1523495017405,"Não Confio em Urna Eletrônica
A maioria dos Brasileiros também teem o mesmo sentimento quando a ela.
Esse Devia ser nas cédulas até que seja Possível a Implementação Total das Urnas com Voto Impresso",12,false,0
UgwDWME80NaG0BWEcT14AaABAg,PATRIOTA BRASILEIRO,2 months ago,1523495017412,"A LEI APROVADA , DIZ QUE TODAS AS URNAS ELETRÔNICAS DEVEM TEM O VOTO IMPRESSO , AO DESCUMPRIR ISSO , O TSE ESTARÁ COMETENDO UM CRIME , E O CIDADÃO NESTE CASO , SE O EQUIPAMENTO PELA LEI APROVADO NÃO ESTIVER LA NINGUÉM É OBRIGADO A VOTAR , POIS JÁ FOI COMPROVADO A MANIPULAÇÃO DAS URNAS ELETRÔNICAS , QUE NENHUM PAIS DO MUNDO AS USAM , SE O MUNDO USA CÉDULAS DE PAPEL , POR QUE NÓS UM PAIS DE DÉCIMA CATEGORIA , NÃO PODEMOS USAR ? E DAR TRANSPARÊNCIA E CREDIBILIDADE A ESTE ATO CÍVICO QUE DA PARA RECONTAR OS VOTOS EM CASO DE DUVIDAS ? A QUEM INTERESSA ISSO ?.",8,false,0
UgzlPlOmEswdaD_hfSt4AaABAg,Deivid,2 months ago,1523495017422,"VOLTA O VOTO DE PAPEL LOGO, MUITO MAIS SEGURO, NINGUÉM ENGOLE ESSE IDEIA, GOLPISTAS, URNA FRAUDULENTA, MALDITA.",5,false,0
Ugx5unVW82Wc6igkhZZ4AaABAg,Lucianne Guedes,2 months ago,1523495017431,Voto Impresso! Cumpra-se a lei ... em todas as urnas,9,false,0
UgxLP1rQMplg8zEcaV54AaABAg,Nelson Dias,2 months ago,1523495017442,"As duas formas, óbvio. Porém tem que pôr em 100%  dos estados. Pois a lei tem que ser cumprida em 100% não 10, 20, 30.",8,false,0
