id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies
Ugx5_H2g-U0RhrHOxI14AaABAg,Vanderlei Borghezan,1 month ago,1526086752087,Oque me garante que o meu voto não sera mudado dentro da urna alem da sua palavra,0,false,0
UgyFm2DkRg1imS54VQt4AaABAg,Fred Miranda,3 months ago,1520816352137,"Segurança?
Kkkkkkkk
Se até o marca-passo no coração do meu avô pode ser hackeado, que dirá essa urna!",2,false,0
Ugx7rSfOBgNPA2oMniZ4AaABAg,Tupper,3 months ago,1520816352144,"Desculpa, só acredito vendo... Quero ver o papel de volta, ali existe democracia, mesmo com a garrancheira da letra, mas sim, é mais democrático",0,false,0
UgzYyhEvHLCqqS6L4yJ4AaABAg,Murilo da Silva,3 months ago,1520816352151,SEGURANÇA ??? Tá de sacanagem. FRAUDEEE,2,false,0
UgyHTb6nsknA_MANy-14AaABAg,Soft Smell,3 months ago,1520816352161,"É melhor o voto impresso 
Voto eletronico pode ser alterado, hackers profissionais sempre descobrem uma forma de burlar a segurança 🤔",2,false,0
UgzbAqcBevR0MpbL5CJ4AaABAg,Roberto Bezerra,3 months ago,1520816352169,Não entendi a parte que o partido pode colocar um programa para rodar dentro da urna!,0,false,0
